,id,title,all
174,1724,The Incredible Hulk,louis leterrier edward norton science fiction new york
175,267935,The BFG,steven spielberg ruby barnhill adventure london england
176,281957,The Revenant,alejandro gonzález iñárritu leonardo dicaprio western father son relationship
177,77950,Turbo,david soren ryan reynolds animation underdog
178,44896,Rango,gore verbinski johnny depp animation sheriff
179,270946,Penguins of Madagascar,eric darnell tom mcgrath family penguin
180,2503,The Bourne Ultimatum,paul greengrass matt damon action paris
181,9502,Kung Fu Panda,mark osborne jack black adventure china
182,102899,Ant-Man,peyton reed paul rudd science fiction marvel comic
183,101299,The Hunger Games: Catching Fire,francis lawrence jennifer lawrence adventure competition
184,228161,Home,tim johnson jim parsons fantasy friendship
185,74,War of the Worlds,steven spielberg tom cruise adventure post traumatic stress  disorder
186,8961,Bad Boys II,michael bay martin lawrence adventure miami
187,417859,Puss in Boots,chris miller antonio banderas action adventure
188,27576,Salt,phillip noyce angelina jolie action assassination
189,86834,Noah,darren aronofsky russell crowe drama bible
190,17578,The Adventures of Tintin,steven spielberg jamie bell adventure riddle
191,673,Harry Potter and the Prisoner of Azkaban,alfonso cuarón daniel radcliffe adventure flying
192,6972,Australia,baz luhrmann nicole kidman drama missionary
193,82700,After Earth,m. night shyamalan jaden smith science fiction dystopia
194,10567,Dinosaur,ralph zondag d. b. sweeney animation cataclysm
195,181533,Night at the Museum: Secret of the Tomb,shawn levy ben stiller adventure night watchman
196,38055,Megamind,tom mcgrath will ferrell animation saving the world
197,671,Harry Potter and the Philosopher's Stone,chris columbus daniel radcliffe adventure witch
198,49524,R.I.P.D.,robert schwentke jeff bridges fantasy gold
199,22,Pirates of the Caribbean: The Curse of the Black Pearl,gore verbinski johnny depp adventure exotic island
200,131631,The Hunger Games: Mockingjay - Part 1,francis lawrence jennifer lawrence science fiction resistance
201,591,The Da Vinci Code,ron howard tom hanks thriller paris
202,172385,Rio 2,carlos saldanha jesse eisenberg animation bird
203,36658,X2,bryan singer patrick stewart adventure mutant
204,51497,Fast Five,justin lin vin diesel action brazil
205,58574,Sherlock Holmes: A Game of Shadows,guy ritchie robert downey jr. adventure detective inspector
206,18823,Clash of the Titans,louis leterrier sam worthington adventure hades
207,861,Total Recall,paul verhoeven arnold schwarzenegger action oxygen
208,1911,The 13th Warrior,john mctiernan antonio banderas adventure witch
209,49040,The Bourne Legacy,tony gilroy jeremy renner action assassin
210,415,Batman & Robin,joel schumacher george clooney action double life
211,8871,How the Grinch Stole Christmas,ron howard jim carrey family holiday
212,435,The Day After Tomorrow,roland emmerich dennis quaid action saving the world
213,955,Mission: Impossible II,john woo tom cruise adventure terror
214,2133,The Perfect Storm,wolfgang petersen george clooney drama u.s. air force
215,1979,Fantastic 4: Rise of the Silver Surfer,tim story ioan gruffudd adventure fire
216,87827,Life of Pi,ang lee suraj sharma adventure ocean
217,1250,Ghost Rider,mark steven johnson nicolas cage thriller mephisto
218,324668,Jason Bourne,paul greengrass matt damon action assassin
219,9471,Charlie's Angels: Full Throttle,mcg cameron diaz action robbery
220,70981,Prometheus,ridley scott noomi rapace science fiction android
221,10996,Stuart Little 2,rob minkoff michael j. fox family mouse
222,68724,Elysium,neill blomkamp matt damon science fiction dystopia
223,2789,The Chronicles of Riddick,david twohy vin diesel action prison
224,97020,RoboCop,josé padilha joel kinnaman action cyborg
225,7459,Speed Racer,lilly wachowski emile hirsch action car race
226,42888,How Do You Know,james l. brooks reese witherspoon comedy love triangle
227,37834,Knight and Day,james mangold tom cruise action spy
228,75612,Oblivion,joseph kosinski tom cruise action spacecraft
229,1895,Star Wars: Episode III - Revenge of the Sith,george lucas ewan mcgregor science fiction showdown
230,1894,Star Wars: Episode II - Attack of the Clones,george lucas ewan mcgregor adventure senate
231,585,"Monsters, Inc.",pete docter john goodman animation monster
232,76170,The Wolverine,james mangold hugh jackman action japan
233,1893,Star Wars: Episode I - The Phantom Menace,george lucas liam neeson adventure prophecy
234,49519,The Croods,chris sanders nicolas cage adventure stone age
235,2395,Asterix at the Olympic Games,thomas langmann clovis cornillac fantasy competition
236,12100,Windtalkers,john woo nicolas cage drama japan
237,290595,The Huntsman: Winter's War,cedric nicolas-troyan chris hemsworth action witch
238,98566,Teenage Mutant Ninja Turtles,jonathan liebesman megan fox science fiction martial arts
239,49047,Gravity,alfonso cuarón sandra bullock science fiction space mission
240,9619,Dante's Peak,roger donaldson pierce brosnan action helicopter
241,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,dave green megan fox fantasy brother brother relationship
242,166424,Fantastic Four,josh trank miles teller action teleportation
243,1593,Night at the Museum,shawn levy ben stiller action museum
244,254128,San Andreas,brad peyton dwayne johnson action california
245,714,Tomorrow Never Dies,roger spottiswoode pierce brosnan adventure london england
246,2024,The Patriot,roland emmerich mel gibson drama rebel
247,163,Ocean's Twelve,steven soderbergh george clooney thriller sequel
248,787,Mr. & Mrs. Smith,doug liman angelina jolie action bomb
249,262500,Insurgent,robert schwentke shailene woodley adventure based on novel
250,2567,The Aviator,martin scorsese leonardo dicaprio drama ladykiller
251,38745,Gulliver's Travels,rob letterman jack black comedy journalist
252,40805,The Green Hornet,michel gondry seth rogen action bomb
253,53182,300: Rise of an Empire,noam murro sullivan stapleton action based on graphic novel
254,41513,The Smurfs,raja gosnell hank azaria animation moon
255,13700,Home on the Range,will finn roseanne barr animation farm
256,262504,Allegiant,robert schwentke shailene woodley adventure based on novel
257,39254,Real Steel,shawn levy hugh jackman action father son relationship
258,77931,The Smurfs 2,raja gosnell hank azaria fantasy based on cartoon
259,1639,Speed 2: Cruise Control,jan de bont sandra bullock action boat
260,80274,Ender's Game,gavin hood asa butterfield science fiction based on novel
261,1571,Live Free or Die Hard,len wiseman bruce willis action usa
262,120,The Lord of the Rings: The Fellowship of the Ring,peter jackson elijah wood adventure elves
263,10204,Around the World in 80 Days,frank coraci jackie chan action paris
264,8489,Ali,michael mann will smith drama usa
265,10588,The Cat in the Hat,bo welch mike myers comedy cat
266,2048,"I, Robot",alex proyas will smith action suicide
267,1495,Kingdom of Heaven,ridley scott orlando bloom drama crusade
268,10137,Stuart Little,rob minkoff michael j. fox animation brother brother relationship
269,10198,The Princess and the Frog,ron clements anika noni rose romance based on novel
270,286217,The Martian,ridley scott matt damon drama based on novel
271,1635,The Island,michael bay ewan mcgregor action clone
272,24113,Town & Country,peter chelsom warren beatty comedy architect
273,9679,Gone in Sixty Seconds,dominic sena nicolas cage action brother brother relationship
274,98,Gladiator,ridley scott russell crowe action rome
275,180,Minority Report,steven spielberg tom cruise action self-fulfilling prophecy
276,672,Harry Potter and the Chamber of Secrets,chris columbus daniel radcliffe adventure flying car
277,36557,Casino Royale,martin campbell daniel craig adventure italy
278,869,Planet of the Apes,tim burton mark wahlberg thriller gorilla
279,280,Terminator 2: Judgment Day,james cameron arnold schwarzenegger action cyborg
280,11322,Public Enemies,michael mann christian bale history cinema
281,4982,American Gangster,ridley scott denzel washington drama underdog
282,36955,True Lies,james cameron arnold schwarzenegger action spy
283,18487,The Taking of Pelham 1 2 3,tony scott denzel washington thriller hostage
284,39451,Little Fockers,paul weitz robert de niro comedy nurse
285,27581,The Other Guys,adam mckay will ferrell action narration
286,9268,Eraser,chuck russell arnold schwarzenegger action suicide
287,68718,Django Unchained,quentin tarantino jamie foxx drama bounty hunter
288,10545,The Hunchback of Notre Dame,gary trousdale tom hulce drama paris
289,11688,The Emperor's New Groove,mark dindal david spade adventure central and south america
290,76163,The Expendables 2,simon west sylvester stallone action airplane
291,2059,National Treasure,jon turteltaub nicolas cage adventure riddle
292,2486,Eragon,stefen fangmeier ed speleers fantasy based on novel
293,16523,Where the Wild Things Are,spike jonze max records family children's book
294,116711,Epic,chris wedge josh hutcherson animation fantasy
295,37710,The Tourist,florian henckel von donnersmarck johnny depp action paris
296,9946,End of Days,peter hyams arnold schwarzenegger action christianity
297,1372,Blood Diamond,edward zwick leonardo dicaprio drama rebel
298,106646,The Wolf of Wall Street,martin scorsese leonardo dicaprio crime corruption
299,414,Batman Forever,joel schumacher val kilmer action riddle
300,563,Starship Troopers,paul verhoeven casper van dien adventure moon
301,83542,Cloud Atlas,tom tykwer tom hanks drama clone
302,41216,Legend of the Guardians: The Owls of Ga'Hoole,zack snyder emily barclay animation owl
303,314,Catwoman,pitof halle berry action white russian
304,184315,Hercules,brett ratner dwayne johnson action mercenary
305,9016,Treasure Planet,ron clements joseph gordon-levitt adventure cyborg
306,18162,Land of the Lost,brad silberling will ferrell adventure alien life-form
307,138103,The Expendables 3,patrick hughes sylvester stallone action cia
308,257088,Point Break,ericson core edgar ramírez action undercover
309,10214,Son of the Mask,lawrence guterman jamie kennedy fantasy baby
310,205775,In the Heart of the Sea,ron howard chris hemsworth thriller suicide
311,11692,The Adventures of Pluto Nash,ron underwood eddie murphy action moon
312,22972,Green Zone,paul greengrass matt damon war weapon of mass destruction
313,227973,The Peanuts Movie,steve martino noah schnapp animation based on comic strip
314,29193,The Spanish Prisoner,david mamet steve martin crime dialogue
315,1734,The Mummy Returns,stephen sommers brendan fraser adventure son
316,3131,Gangs of New York,martin scorsese leonardo dicaprio drama fire
317,76758,The Flowers of War,zhang yimou christian bale drama forced prostitution
318,9408,Surf's Up,ash brannon shia labeouf animation sea
319,9890,The Stepford Wives,frank oz nicole kidman action android
320,855,Black Hawk Down,ridley scott josh hartnett action prisoners of war
321,77953,The Campaign,jay roach will ferrell comedy politics
322,18,The Fifth Element,luc besson bruce willis adventure clone
324,10501,The Road to El Dorado,don michael paul kenneth branagh adventure gold
325,57800,Ice Age: Continental Drift,steve martino john leguizamo animation blue footed booby
326,150689,Cinderella,kenneth branagh lily james romance cinderella
327,7980,The Lovely Bones,peter jackson rachel weisz fantasy rape
328,12,Finding Nemo,andrew stanton albert brooks animation father son relationship
329,122,The Lord of the Rings: The Return of the King,peter jackson elijah wood adventure elves
330,121,The Lord of the Rings: The Two Towers,peter jackson elijah wood adventure elves
331,68737,Seventh Son,sergei bodrov jeff bridges adventure magic
332,1995,Lara Croft: Tomb Raider,simon west angelina jolie adventure treasure
333,157353,Transcendence,wally pfister johnny depp thriller artificial intelligence
334,331,Jurassic Park III,joe johnston sam neill adventure exotic island
335,61791,Rise of the Planet of the Apes,rupert wyatt james franco thriller intelligence
336,8204,The Spiderwick Chronicles,mark waters freddie highmore adventure brother sister relationship
337,47964,A Good Day to Die Hard,john moore bruce willis action bomb
338,10733,The Alamo,john lee hancock dennis quaid western texas
339,9806,The Incredibles,brad bird craig t. nelson action secret identity
340,1408,Cutthroat Island,renny harlin geena davis action exotic island
341,32657,Percy Jackson & the Olympians: The Lightning Thief,chris columbus logan lerman adventure monster
342,607,Men in Black,barry sonnenfeld tommy lee jones action secret identity
343,863,Toy Story 2,john lasseter tom hanks animation museum
344,44048,Unstoppable,tony scott denzel washington action runaway train
345,5175,Rush Hour 2,brett ratner chris tucker action duringcreditsstinger
346,2655,What Lies Beneath,robert zemeckis harrison ford drama secret
347,22794,Cloudy with a Chance of Meatballs,phil lord bill hader animation weather
348,8355,Ice Age: Dawn of the Dinosaurs,carlos saldanha ray romano animation ice age
349,116745,The Secret Life of Walter Mitty,ben stiller ben stiller adventure himalaya
350,4327,Charlie's Angels,mcg cameron diaz action martial arts
351,1422,The Departed,martin scorsese leonardo dicaprio drama undercover
352,10674,Mulan,tony bancroft eddie murphy animation homeland
353,7446,Tropic Thunder,ben stiller ben stiller action film making
354,65754,The Girl with the Dragon Tattoo,david fincher daniel craig thriller rape
355,1572,Die Hard: With a Vengeance,john mctiernan bruce willis action bomb
356,10528,Sherlock Holmes,guy ritchie robert downey jr. action detective
357,271969,Ben-Hur,timur bekmambetov jack huston drama betrayal
358,10865,Atlantis: The Lost Empire,gary trousdale michael j. fox animation sea
359,258509,Alvin and the Chipmunks: The Road Chip,walt becker jason lee adventure chipmunk
360,2253,Valkyrie,bryan singer tom cruise drama berlin
361,10661,You Don't Mess with the Zohan,dennis dugan adam sandler comedy new york
362,257344,Pixels,chris columbus adam sandler action video game
363,644,A.I. Artificial Intelligence,steven spielberg haley joel osment drama artificial intelligence
364,10756,The Haunted Mansion,rob minkoff eddie murphy thriller secret passage
365,686,Contact,robert zemeckis jodie foster drama based on novel
366,9383,Hollow Man,paul verhoeven kevin bacon action killing
367,179,The Interpreter,sydney pollack nicole kidman crime new york
368,76285,Percy Jackson: Sea of Monsters,thor freudenthal logan lerman adventure poison
369,1996,Lara Croft Tomb Raider: The Cradle of Life,jan de bont angelina jolie action riddle
370,291805,Now You See Me 2,jon m. chu jesse eisenberg action london england
371,10003,The Saint,phillip noyce val kilmer thriller berlin
372,1535,Spy Game,tony scott robert redford action spy
373,2067,Mission to Mars,brian de palma gary sinise science fiction mars
374,46195,Rio,carlos saldanha jesse eisenberg animation brazil
375,2277,Bicentennial Man,chris columbus robin williams comedy android
376,10357,Volcano,mick jackson tommy lee jones science fiction subway
377,4477,The Devil's Own,alan j. pakula harrison ford crime new york
378,8665,K-19: The Widowmaker,kathryn bigelow harrison ford drama submarine
379,9387,Conan the Barbarian,john milius arnold schwarzenegger adventure gladiator
380,921,Cinderella Man,ron howard russell crowe romance transporter
382,4464,Seabiscuit,gary ross jeff bridges drama horse race
383,664,Twister,jan de bont helen hunt action wife husband relationship
384,8358,Cast Away,robert zemeckis tom hanks adventure exotic island
385,9836,Happy Feet,george miller elijah wood animation ocean
386,2502,The Bourne Supremacy,paul greengrass matt damon action berlin
387,9772,Air Force One,wolfgang petersen harrison ford action prison
388,161,Ocean's Eleven,steven soderbergh george clooney thriller prison
389,52451,The Three Musketeers,paul w.s. anderson milla jovovich adventure number in title
390,76492,Hotel Transylvania,genndy tartakovsky adam sandler animation witch
391,4523,Enchanted,kevin lima amy adams comedy poison
392,59961,Safe House,daniel espinosa denzel washington action cia
393,10481,102 Dalmatians,kevin lima glenn close comedy london england
394,59108,Tower Heist,brett ratner ben stiller action skyscraper
395,1581,The Holiday,nancy meyers cameron diaz comedy holiday
396,9798,Enemy of the State,tony scott will smith action corruption
397,22897,It's Complicated,nancy meyers meryl streep comedy graduation
398,298,Ocean's Thirteen,steven soderbergh george clooney crime casino
399,7484,Open Season,jill culton martin lawrence adventure hunter
400,157350,Divergent,neil burger shailene woodley adventure based on novel
401,853,Enemy at the Gates,jean-jacques annaud jude law war winter
402,10159,The Rundown,peter berg dwayne johnson adventure hunter
403,9593,Last Action Hero,john mctiernan arnold schwarzenegger adventure magic
404,1904,Memoirs of a Geisha,rob marshall zhang ziyi drama japan
405,9615,The Fast and the Furious: Tokyo Drift,justin lin lucas black action car race
406,51052,Arthur Christmas,barry cook james mcavoy drama holiday
407,297,Meet Joe Black,martin brest brad pitt fantasy life and death
408,9884,Collateral Damage,andrew davis arnold schwarzenegger action terrorist
409,16858,All That Jazz,bob fosse roy scheider drama show business
410,62764,Mirror Mirror,tarsem singh julia roberts adventure attempted murder
411,22538,Scott Pilgrim vs. the World,edgar wright michael cera action whipping
412,9341,The Core,jon amiel aaron eckhart action magnetic field
413,12107,Nutty Professor II: The Klumps,peter segal eddie murphy fantasy alter ego
414,9637,Scooby-Doo,raja gosnell freddie prinze jr. mystery amateur detective
415,49049,Dredd,pete travis karl urban action usa
416,9339,Click,frank coraci adam sandler comedy regret
417,16281,Creepshow,george a. romero hal holbrook horror monster
418,39691,Cats & Dogs 2 : The Revenge of Kitty Galore,brad peyton james marsden comedy torture
419,8247,Jumper,doug liman hayden christensen adventure adolescence
420,11253,Hellboy II: The Golden Army,guillermo del toro ron perlman adventure auction
421,1949,Zodiac,david fincher jake gyllenhaal crime california
422,8452,The 6th Day,roger spottiswoode arnold schwarzenegger science fiction clone
423,310,Bruce Almighty,tom shadyac jim carrey fantasy christianity
424,27578,The Expendables,sylvester stallone sylvester stallone thriller tattoo
425,954,Mission: Impossible,brian de palma tom cruise adventure paris
426,70160,The Hunger Games,gary ross jennifer lawrence science fiction hallucination
427,45243,The Hangover Part II,todd phillips bradley cooper comedy sun glasses
428,364,Batman Returns,tim burton michael keaton action holiday
429,7518,Over the Hedge,karey kirkpatrick bruce willis comedy squirrel
430,11544,Lilo & Stitch,chris sanders chris sanders animation sister sister relationship
431,9986,Charlotte's Web,gary winick julia roberts comedy hero
432,8656,Deep Impact,mimi leder robert duvall action usa president
433,146216,RED 2,dean parisot bruce willis action paris
434,9291,The Longest Yard,peter segal adam sandler comedy prison
435,55301,Alvin and the Chipmunks: Chipwrecked,mike mitchell jason lee comedy sequel
437,11665,Get Smart,peter segal steve carell action dancing
438,6964,Something's Gotta Give,nancy meyers jack nicholson drama age difference
439,11324,Shutter Island,martin scorsese leonardo dicaprio drama based on novel
440,12193,Four Christmases,seth gordon vince vaughn comedy holiday
